Beer Name,ABV,IBU,Style
Seeker IPA,6.00%,,American IPA
Sweeney,5.50%,,English Porter
Ta Wit Ta Woo,4.70%,,Witbier
Vagabond,7.10%,,Weizenbock
Valkyrie Chocolatte Stout,6.00%,,American Stout
Weissen Schild,6.00%,,Hefeweizen
Alpine Lente Meadow Maibbock,6.40%,,Helles Bock
Alpine Wiesen Oktoberfest,5.60%,,Oktoberfest
Amber Blaze,5.60%,,American Amber / Red Ale
B. MacKaye's Hepp Raisin' Scotch Ale,7.70%,,Scotch Ale / Wee Heavy
Black Blaze Millk Stout,5.00%,,Milk / Sweet Stout
Blue Blaze Altbier,5.00%,,Altbier
Carolina Thread Trail,4.50%,`,American Pale Ale (APA)
Double Blaze Black IPA,6.10%,,American Black Ale
Lean Too,9.00%,,Doppelbock
Lean Too- Rua Whiskey Barrel-Aged,9.00%,,Dopplelbock
PCT West Coast Style IPA,6.50%,,American IPA
Pink Blazer,5.30%,,Hefeweizen
Poplar Tent Pale Ale,5.60%,,American Pale Ale (APA)
Tropical Storm IPA,6.40%,,American IPA
Ursa Major,8.10%,,American Double / Imperial IPA
Yellow Blazer Kolsch,5.00%,,Kolsch
Amber Ale,5.80%,,American Amber / Red Ale
Rasberry Soiree,4.20%,,Berliner Weissbier
Blue Byway 2.0,6.70%,,Berliner Weissbier
Thirst,6.30%,,American IPA
Traeblod,11.00%,,Stout - Imperial / Double
Room For Activities,7.20%,,IPA - New England
Blurred Up,8.40%,,IPA - Imperial / Double
Bee Fruitfull,7.60%,,IPA - Imperial / Double
lemon Drop Bee Invasion,5.50%,,Blonde Ale
Uber Quench'l,8.20%,, IPA - Imperial / Double
MO-J,7.10%,,IPA - New England
Flava In Ya Ear,8.10%,,IPA - Imperial / Double
"Hop, Drop 'n Roll",7.20%,80,American IPA
Jam Session,5.10%,31,American Pale Ale
Coco Loco,6.20%,40,Porter - American
CAVU,4.60%,18,Blonde Ale
Hop Cakes,10.25%,118,IPA - Imperial / Double
Gordgeous,6.40%,29,Pumkin / Yam Beer
Par 4,4%,65,IPA - India Session Ale
Ramble On Red,5%,30,Red Ale
Premium Roast Coffee,5%,35,Stout - American
Roaring Riot,5.50%,45,Rye Beer
Mother Shucker,6.70%,,Stout - Oyster
Woody & Wilcox's Hop Experiment Session Ale,4.90%,,IPA - India Session Ale
"If You Don't Know, Now You Know",6%,40,IPA - New England
Boba Brett,5.70%,5,Sour Ale
Muffin Top,6.80%,50,Red Ale
Double Whirpool IPA,8%,50,IPA - American
Enderly Espresso Stout,8%,,Stout - American
Sweet Tater Fluff Lager,6.30%,20,Lager - Amber
Texas Brown Ale,5%,45,Brown Ale
2017 Anniversary Ale,12.30%,,Strong Ale
Fifty Shades of Haze,5.70%,,American Pale Ale
My Old Friend,7%,,Carolina Dark Sour
"Susie, Gingerly",4.70%,,Carolina Grisette
Who Do Ya Knead?,4%,,American IPA
All The Things,11%,,IPA 
A Bigh F.H.,11%,,Imperial Brown Ale
Barracuda Bill's,4.80%,,Pilsner
Hard To Kickm Another Bad Habit (nitro),6%,,Porter
Sunac Tonic,5.80%,,Gruit
Awesome Possum,6%,,American IPA
Cream Of The Crop,5%,,American Cream Ale
Rocket Ride,6.90%,60,IPA
Git Yer Gun,4.90%,20,Golden Ale
Solo Flight,5.50%,24,Brown Ale
Find A Way,4.90%,24,Wheat Ale
Conquer The Route,7.20%,20,Choclate Stout
Higher Ground,7.00%,65,West Coast IPA
Lazy Bird Brown Ale,5.50%,45,Brown Ale
Jalepeno Pale Ale,5.50%,45,Pale Ale
Pardise City Session IPA,4.80%,45,Session IPA
Doin Thyme Witbier,4.30%,15,Belgian-Style Wheat Ale
Fake Plastic Trees Hoppy Wheat,6.40%,40,Wheat Ale
Wake Up Porter,5.80%,29,Porter
MexiCalie Stout,5.80%,35,Stout
Honey Pie Double IPA,8.90%,80,IPA
Say It To My Face Double Red IPA,7.70%,70,IPA
 Up On The Sun Saison,7.50%,35,Sasion
Eat A Peach Pale Ale,4.90%,35,Pale Ale
St. Tuber Abbey Ale,6.50%,25,Ale
Turtles on Pterodactyls,8%,35,Barrel Aged Beer
Mongeese On Monkeys,9%,45,Barrel Aged Beer
 Puppies On Penguins,9.30%,35,Barrel Aged Beer
Bourbon Barrel Aged St. Tuber,9%,25,Barrel Aged Beer
Weasels On Woodpreckers,7.50%,35,Barrel Aged Beer
Carolina Sparkle Party,4%,8,Berliner Weisse
Red Rover,5%,28,Irish Red Ale
Freedom Park Pale,5.20%,40,American Pale Ale
Slainte,5.10%,40,Irish Stout
Juicy Jay,6.30%,68,East Coast IPA
Maple Canyon,6.10%,31,Brown Ale
Project Pils,4.80%,15,Pilsner
Daylight Ninja ,5.50%,7,Farmhouse Ale
Boo and Kay's big Day,6.50%,53,NE-Style IPA
Path To The Dark Side,5%,30,Oatmeal Stout
The Ides of Hops,8%,45,Double IPA
Turn Style,6%,,IPA 
Beer Legs,6%,,IPA
Finer Things,4.20%,,Helles Lager
Thunder Stud,8.30%,,IPA
Breather,5.20%,,Pilsner
Baby King,4.50%,,Blonde Ale
Screaming Eagle,6%,,Porter
Carolina Del Norte,5.50%,25,Mexican-Style Lager
Friki Tiki,6.50%,60,Dragon Fruit IPA
Peanut Butter Jelly Time,5.70%,10,Specialty Brown Ale
Evening Joe,5.70%,25,Coffee Blonde
LD's,10%,30,Belgian Tripel
Peanut Butter Choclate Stout,5.40%,52,Specialty Stout
Deep State,7.30%,33,Baltic Porter
Hopness Monster,6.50%,60,IPA
White Zombie,5.10%,7,White Ale
Farmer Ted,6%,7,Cream Ale
Mother Trucker,5%,51,Pale Ale
CLT,7.20%,51,IPA
Astral Bootie Beer ,4.50%,40,Session IPA
Brown Bear,5.20%,30,Brown Ale
Black Dome,6%,30,Stout
Revenuers Red,5.20%,32,Red Ale
Ted Light Lime ,4.50%,7,Lime Ale
 Eno Pilsner,4.90%,39,Pilsner
Hooligan,8%,45,Scotch Ale
King Coconut,5.50%,30,Porter
King Don's,5.50%,5,Pumkin Ale
